"","Name","Soma_Surface","N_stems","N_bifs","N_branch","N_tips","Width","Height","Depth","Type","Diameter","Diameter_pow","Length","Surface","SectionArea","Volume","EucDistance","PathDistance","Branch_Order","Terminal_degree","TerminalSegment","Taper_1","Taper_2","Branch_pathlength","Contraction","Fragmentation","Daughter_Ratio","Parent_Daughter_Ratio","Partition_asymmetry","Rall_Power","Pk","Pk_classic","Pk_2","Bif_ampl_local","Bif_ampl_remote","Bif_tilt_local","Bif_tilt_remote","Bif_torque_local","Bif_torque_remote","Last_parent_diam","Diam_threshold","HillmanThreshold","Helix","Fractal_Dim","Minimun_Soma_Surface","Average_Soma_Surface","Maximum_Soma_Surface","SD_Soma_Surface","Minimun_N_stems","Average_N_stems","Maximum_N_stems","SD_N_stems","Minimun_N_bifs","Average_N_bifs","Maximum_N_bifs","SD_N_bifs","Minimun_N_branch","Average_N_branch","Maximum_N_branch","SD_N_branch","Minimun_N_tips","Average_N_tips","Maximum_N_tips","SD_N_tips","Minimun_Width","Average_Width","Maximum_Width","SD_Width","Minimun_Height","Average_Height","Maximum_Height","SD_Height","Minimun_Depth","Average_Depth","Maximum_Depth","SD_Depth","Minimun_Type","Average_Type","Maximum_Type","SD_Type","Minimun_Diameter","Average_Diameter","Maximum_Diameter","SD_Diameter","Minimun_Diameter_pow","Average_Diameter_pow","Maximum_Diameter_pow","SD_Diameter_pow","Minimun_Length","Average_Length","Maximum_Length","SD_Length","Minimun_Surface","Average_Surface","Maximum_Surface","SD_Surface","Minimun_SectionArea","Average_SectionArea","Maximum_SectionArea","SD_SectionArea","Minimun_Volume","Average_Volume","Maximum_Volume","SD_Volume","Minimun_EucDistance","Average_EucDistance","Maximum_EucDistance","SD_EucDistance","Minimun_PathDistance","Average_PathDistance","Maximum_PathDistance","SD_PathDistance","Minimun_Branch_Order","Average_Branch_Order","Maximum_Branch_Order","SD_Branch_Order","Minimun_Terminal_degree","Average_Terminal_degree","Maximum_Terminal_degree","SD_Terminal_degree","Minimun_TerminalSegment","Average_TerminalSegment","Maximum_TerminalSegment","SD_TerminalSegment","Minimun_Taper_1","Average_Taper_1","Maximum_Taper_1","SD_Taper_1","Minimun_Taper_2","Average_Taper_2","Maximum_Taper_2","SD_Taper_2","Minimun_Branch_pathlength","Average_Branch_pathlength","Maximum_Branch_pathlength","SD_Branch_pathlength","Minimun_Contraction","Average_Contraction","Maximum_Contraction","SD_Contraction","Minimun_Fragmentation","Average_Fragmentation","Maximum_Fragmentation","SD_Fragmentation","Minimun_Daughter_Ratio","Average_Daughter_Ratio","Maximum_Daughter_Ratio","SD_Daughter_Ratio","Minimun_Parent_Daughter_Ratio","Average_Parent_Daughter_Ratio","Maximum_Parent_Daughter_Ratio","SD_Parent_Daughter_Ratio","Minimun_Partition_asymmetry","Average_Partition_asymmetry","Maximum_Partition_asymmetry","SD_Partition_asymmetry","Minimun_Rall_Power","Average_Rall_Power","Maximum_Rall_Power","SD_Rall_Power","Minimun_Pk","Average_Pk","Maximum_Pk","SD_Pk","Minimun_Pk_classic","Average_Pk_classic","Maximum_Pk_classic","SD_Pk_classic","Minimun_Pk_2","Average_Pk_2","Maximum_Pk_2","SD_Pk_2","Minimun_Bif_ampl_local","Average_Bif_ampl_local","Maximum_Bif_ampl_local","SD_Bif_ampl_local","Minimun_Bif_ampl_remote","Average_Bif_ampl_remote","Maximum_Bif_ampl_remote","SD_Bif_ampl_remote","Minimun_Bif_tilt_local","Average_Bif_tilt_local","Maximum_Bif_tilt_local","SD_Bif_tilt_local","Minimun_Bif_tilt_remote","Average_Bif_tilt_remote","Maximum_Bif_tilt_remote","SD_Bif_tilt_remote","Minimun_Bif_torque_local","Average_Bif_torque_local","Maximum_Bif_torque_local","SD_Bif_torque_local","Minimun_Bif_torque_remote","Average_Bif_torque_remote","Maximum_Bif_torque_remote","SD_Bif_torque_remote","Minimun_Last_parent_diam","Average_Last_parent_diam","Maximum_Last_parent_diam","SD_Last_parent_diam","Minimun_Diam_threshold","Average_Diam_threshold","Maximum_Diam_threshold","SD_Diam_threshold","Minimun_HillmanThreshold","Average_HillmanThreshold","Maximum_HillmanThreshold","SD_HillmanThreshold","Minimun_Helix","Average_Helix","Maximum_Helix","SD_Helix","Minimun_Fractal_Dim","Average_Fractal_Dim","Maximum_Fractal_Dim","SD_Fractal_Dim","V223"
"1",114_post,50204.3,5,51,107,57,207.53,505.17,58.46,13200,2294.34,2121.97,6782.64,14793,2130.47,15119.9,594083,709403,15271,6179,3127,4.39854,10.7527,6782.11,95.1733,3908,68.2075,95.2302,20.3473,17.925,100.566,97.1233,105.052,3670.29,1685.38,5860.46,7252.94,3056.67,3355.84,12.25,81.26,95.845,1.45,99.3998,25102.1,25102.1,25102.1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,207.53,207.53,207.53,0,505.17,505.17,505.17,0,58.46,58.46,58.46,0,1,3.37769,4,0.703579,0.09,0.587088,25.2,0.673688,0.027,0.54298,126.503,3.27286,0.128062,1.73602,20.5754,1.10959,0.185067,3.78629,996.116,21.108,0.00636173,0.545297,498.759,10.1182,0.00706266,3.86995,6275.53,126.928,0,152.017,438.825,79.6579,0,181.526,494.83,85.6094,0,3.90763,7,1.6893,1,1.58112,57,2.20532,1,1,1,0,-0.0555556,0.0411078,0.986746,0.159261,-7.25,0.100492,0.981746,0.805895,2.79,63.3842,279.97,60.3603,0.671768,0.88947,1,0.0642752,1,36.1852,178,36.6354,1,1.3374,3.21739,0.37067,0.0440476,0.890002,2.96429,0.425226,0,0.398966,1,0.440024,0.73,1.62955,2.575,0.625904,0.39941,1.97189,12.4078,1.75312,0.50306,1.90438,9.4001,1.29483,0.328406,2.05985,15.7717,2.25954,17.9119,73.4059,163.03,34.4133,4.45217,33.7075,146.116,24.9751,38.9621,117.209,163.804,29.3842,75.2026,145.059,172.59,22.2101,0.393563,72.7778,180,60.4855,2.31649,67.1169,176.604,57.5484,0.37,0.644737,0.92,0.146857,0.28,1.42561,25.2,4.04621,0.37,1.68149,25.2,4.31899,-0.33,0.000372272,0.32,0.0560916,1.0049,1.03541,1.11684,0.0215028,CA1
"2",c10861,10921,5,77,156,80,282.15,570.15,150.64,27403,10862.6,13921.2,9344.78,46398.7,14792.3,23474.6,1315710,1641480,72172,13583,6373,9.69896,54,9343.98,132.647,7497,112.921,110.482,38.5685,119.43,79.4092,96.7201,86.3555,6020.62,4283.05,8011.81,9508.95,5856.28,5838.92,60.716,131.594,166.186,3.42,145.267,1851.84,2730.24,4423.68,885.089,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,282.15,282.15,282.15,0,570.15,570.15,570.15,0,150.64,150.64,150.64,0,1,3.6552,4,0.47923,0.696,1.44892,16.734,0.663705,0.580649,1.8569,68.4541,1.82688,0.230217,1.24664,21.2931,0.736741,0.54099,6.1898,228.714,7.00449,0.380459,1.97336,170.04,3.72417,0.101165,3.13161,827.83,12.106,0,175.498,468.449,114.676,0,218.951,628.948,134.151,0,9.62678,24,6.8891,1,1.81179,80,4.08944,1,1,1,0,-0.514706,0.0621728,1.38819,0.173088,-0.741688,0.346154,0.893908,0.313836,1.17,59.8973,249.8,50.9153,0.48084,0.850303,1,0.0854174,1,47.7516,217,46.4841,1,1.4665,4.92784,0.558341,0.160519,0.708216,1.37541,0.21725,0,0.500889,1,0.452931,0.785,2.02424,4.875,1.00442,0.234852,1.03129,2.90845,0.550844,0.533092,1.2561,2.46045,0.411842,0.343619,1.1215,2.68179,0.490059,8.14319,80.275,153.775,27.5983,2.32734,57.1073,147.158,29.588,24.5898,105.419,173.127,23.7588,41.1095,125.118,169.001,24.2802,11.5457,82.4828,166.611,38.0625,10.211,78.9043,172.032,43.9148,1.236,2.24874,4.712,0.874995,0.92,1.64493,3.534,0.541678,1.071,2.07732,4.593,0.744796,-0.32,0.000456853,0.32,0.0694397,1.00297,1.04508,1.17647,0.022391,CA1
"3",c11471,225422,8,112,232,121,760.04,880.18,243.84,8508,1112.08,1500.54,19869.1,29022.1,3211.23,61327.4,646408,789882,13466,5549,1944,9.17936,48.2106,19867.9,221.278,2798,172.884,187.282,55.8864,27.73,183.983,178.1,172.425,6371.4,4768.93,14610.4,15712.4,8351.53,8351.55,11.2,120.12,129.97,-0.11,173.998,112711,112711,112711,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,760.04,760.04,760.04,0,880.18,880.18,880.18,0,243.84,243.84,243.84,0,1,3.04074,4,0.728039,0.3,0.397455,41.56,1.29824,0.164317,0.536289,267.925,8.13969,0.709154,7.10373,32.3072,3.11513,0.668362,10.3761,2712,67.4427,0.0706858,1.1481,1356.57,32.3151,0.0501272,21.9261,28177.7,671.181,0,231.025,691.753,139.976,0,282.302,877.067,179.331,0,4.81272,11,2.49912,1,1.9832,121,3.32802,1,1,1,0,-0.053286,0.0395662,1.12987,0.160947,-0.285714,0.207804,0.985563,0.307534,1,85.6375,498.74,74.3418,0.751296,0.953786,1,0.0428556,1,12.0086,72,10.6641,1,1.54361,9,1.13088,0.0288739,0.807248,1.28571,0.299873,0,0.498986,1,0.448869,0.43,1.02704,2.41,0.401384,0.331807,1.6427,2.01291,0.49631,0.192783,1.59017,2.06154,0.565616,0.0929752,1.53951,2.16327,0.633186,3.79141,57.4,131.019,24.4431,3.52961,42.9633,174.461,25.7249,51.5313,131.626,174.34,21.5357,54.9362,141.553,171.46,23.881,2.08019,75.239,173.919,44.8361,4.40549,75.2392,177.952,49.2962,0.3,0.302703,0.4,0.0148573,0.3,0.992727,41.56,4.68436,0.3,1.07413,41.56,4.68108,-0.22,-3.95826e-05,0.28,0.0335504,1.00066,1.01162,1.08859,0.0116036,CA1
"4",c11571,48195.1,5,73,151,79,724.02,765.55,332.85,5183,799.45,891.44,14047.8,19188.7,1314.49,14699.1,401832,581802,7811,3568,1285,4.1433,43.7676,14047,144.089,1864,127.033,111.35,30.0043,38.66,99.1916,101.204,94.4038,4456.3,3554.71,8910.4,9968.96,6090.05,6393.5,11.3,75.1,81.4,-1.04,123.43,24097.6,24097.6,24097.6,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,724.02,724.02,724.02,0,765.55,765.55,765.55,0,332.85,332.85,332.85,0,1,2.78058,4,0.772657,0.3,0.428889,24.85,0.961823,0.164317,0.47824,123.877,4.62427,0.495681,7.5404,28.6424,3.07539,0.467169,10.2999,969.72,29.8358,0.0706858,0.705575,485.001,14.1876,0.0350376,7.89001,6024.39,176.139,0,215.575,660.767,130.661,0,312.125,1070.43,215.616,0,4.19045,8,1.91942,1,1.91416,79,2.94567,1,1,1,0,-0.000631832,0.0274391,0.893491,0.11518,-0.25,0.289851,0.975855,0.290189,1.22,93.0266,515.16,100.592,0.646096,0.954235,1,0.0500625,1,12.2632,83,14.5949,1,1.74018,6,1.11664,0.0684105,0.737415,1,0.282159,0,0.411018,1,0.42615,0.695,1.43185,2.535,0.496148,0.403729,1.35879,2,0.496358,0.459279,1.38635,2,0.47579,0.28125,1.2932,2,0.54552,19.1692,61.893,174.91,30.0592,3.92394,49.3709,155.865,30.5018,18.1962,123.756,164.354,34.2006,24.6517,138.458,171.868,25.6991,12.0867,84.584,178.208,45.0682,4.63783,88.7987,173.094,44.0949,0.3,0.403571,0.8,0.137232,0.3,0.950633,24.85,3.43393,0.3,1.03038,24.85,3.42577,-0.23,-0.000561858,0.25,0.0356832,1.00113,1.01172,1.05787,0.0103757,CA1
"5",c12866,88033.3,7,87,181,95,196.69,794.27,239.46,5733,850.634,1140.82,14792.9,24716.8,1962.75,27012.7,393309,421486,8950,3199,1228,7.81649,70.0308,14792,175.06,1632,158.522,116.695,39.8569,72.195,99.6601,100.036,88.6914,4497.3,3452.19,11920.5,12541.4,6674.69,6988.39,14.7,92.756,108.206,-0.19,137.232,44016.6,44016.6,44016.6,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,196.69,196.69,196.69,0,794.27,794.27,794.27,0,239.46,239.46,239.46,0,1,3.51287,4,0.570751,0.3,0.521222,30.378,1.27142,0.164317,0.699033,167.432,6.67717,1.80649,9.06981,38.7402,3.58586,1.70258,15.1544,1448.96,48.4448,0.0706858,1.20341,724.783,22.6268,0.127693,16.5621,11004.2,343.338,0,240.998,652.465,162.979,0,258.264,713.416,171.016,0,5.48407,11,3.38528,1,1.96017,95,3.41712,1,1,1,0,0,0.043185,1.27706,0.154499,0,0.386911,0.980249,0.271922,2.54,81.7238,352.7,61.4938,0.778487,0.967183,1,0.0346855,1,8.96703,35,6.45011,1,1.8221,6.66667,1.13131,0.0559616,0.644725,1,0.269988,0,0.458126,1,0.455143,0.68,1.33694,2.975,0.514985,0.442877,1.14552,2,0.448013,0.448882,1.14984,2,0.445935,0.280992,1.01944,2,0.50833,13.3226,52.2942,100.6,20.7877,3.34713,40.1417,116.298,20.4504,82.4485,138.61,171.609,17.2167,67.188,145.83,171.402,17.5226,5.69358,77.6126,176.476,44.3441,7.14375,81.2604,174.161,43.8776,0.3,0.474194,0.8,0.157265,0.3,0.976379,30.378,3.8416,0.3,1.13901,30.378,3.82714,-0.17,-0.000117647,0.19,0.0264651,1.00025,1.00906,1.10284,0.0106888,CA1
"6",c12873,105816,11,141,293,153,1189.27,1104.76,210.14,9924,1429.29,1414.68,30459.5,38267.9,2164.79,31974.2,1756800,2649010,26914,10008,2293,9.49174,51.0914,30458.1,279.978,3907,187.604,245.478,65.3831,32.34,237.506,235.128,228.617,8303.99,6578.42,18110,19525.2,10953.6,11913.5,16,113.396,117.346,-3.92,212.729,52908.1,52908.1,52908.1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1189.27,1189.27,1189.27,0,1104.76,1104.76,1104.76,0,210.14,210.14,210.14,0,1,2.54006,4,0.775514,0.3,0.365829,32.298,0.853373,0.164317,0.36209,183.554,4.71316,0.250799,7.79813,40.4421,5.36751,0.236372,9.79722,1638.12,35.5555,0.0706858,0.554223,819.297,16.4943,0.0177279,8.18592,13227,266.347,0,449.655,1823.55,359.297,0,678.015,2375.07,520.828,0,6.88866,14,3.48524,1,2.56156,153,4.41612,1,1,1,0,-0.0607112,0.032395,1.44006,0.158992,-0.241379,0.174374,0.990711,0.283852,0.25,103.953,1064.41,118.782,0.542915,0.955557,1,0.0629107,1,13.2891,210,23.305,1,1.33053,12,1.01747,0.018577,0.837809,1.24138,0.277464,0,0.46371,1,0.452681,0.415,1.19778,2.42,0.538154,0.210369,1.68444,2,0.483527,0.1657,1.66758,2,0.507126,0.0725327,1.6214,2,0.571369,14.3573,59.3142,177.448,33.1874,4.664,46.9887,178.666,32.3653,17.5843,129.357,164.607,32.3735,37.4981,139.465,171.779,28.0271,2.19612,78.2402,174.994,50.5076,4.24159,85.0966,174.764,51.4931,0.3,0.32,0.6,0.0625597,0.3,0.74115,32.298,3.23284,0.3,0.766967,32.298,3.23061,-0.25,-0.00100979,0.29,0.0356939,1.00015,1.01299,1.26978,0.0227641,CA1
"7",c12877,65343.4,7,70,147,78,534.84,747.04,302.8,5475,769.518,948.852,12669.9,18880.3,1554.41,19330.8,366969,477997,7606,3381,1244,5.58623,44.3725,12669.1,140.74,1714,128.804,104.832,34.1086,42.365,92.7306,94.8373,88.1599,4165.34,3444.75,8817.64,9653.96,6283.85,6279.51,9.2,78.212,99.315,0.76,121.249,32671.7,32671.7,32671.7,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,534.84,534.84,534.84,0,747.04,747.04,747.04,0,302.8,302.8,302.8,0,1,3.19428,4,0.886194,0.3,0.44896,27.506,1.10844,0.164317,0.55359,144.258,5.60661,0.711126,7.3963,35.1769,3.05756,0.67022,11.0218,1187.8,38.0852,0.0706858,0.907421,594.217,18.1064,0.0502665,11.2848,8167.93,248.827,0,214.101,653.91,120.407,0,278.878,900.637,174.933,0,4.43757,11,2.53942,1,1.97258,78,2.95712,1,1,1,0,-0.0101626,0.0380016,1.28425,0.149253,-1.33333,0.301853,0.989093,0.327061,2.23,86.1844,642.73,87.9911,0.640497,0.957412,1,0.0500542,1,11.5811,92,12.5633,1,1.84006,4.66667,1.10807,0.0109067,0.713144,1,0.298333,0,0.487266,1,0.449355,0.88,1.36661,2.41,0.443507,0.626317,1.32472,2,0.511595,0.686893,1.35482,2,0.489281,0.490186,1.25943,2,0.560335,12.8065,60.3673,151.549,25.605,8.38726,49.9239,156.36,29.9518,29.8006,127.792,163.846,24.9479,56.1849,139.912,166.586,21.8584,4.6861,91.0703,173.507,44.1703,4.82958,91.0074,175.436,44.9659,0.3,0.368,0.7,0.0856755,0.3,1.00272,27.506,3.83375,0.3,1.27327,27.506,4.08416,-0.28,0.000447849,0.28,0.0345899,1.00057,1.01041,1.08085,0.0108531,CA1
"8",c12971,93309.8,6,96,198,103,777.22,894.85,349.42,7260,1054.82,1213.02,19715.9,27636.1,1975.69,27440,615485,903459,12762,5121,1717,5.32087,53.5108,19714.9,187.578,2482,169.229,149.029,49.8121,48.18,134.671,137.434,129.854,6034.62,4520.47,11175.6,12855.9,7380.35,7158.94,12.3,95.248,107.098,-1.17,151.78,46654.9,46654.9,46654.9,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,777.22,777.22,777.22,0,894.85,894.85,894.85,0,349.42,349.42,349.42,0,1,2.92506,4,0.917996,0.3,0.424989,30.974,1.03578,0.164317,0.488726,172.384,5.56183,0.493457,7.94675,60.8256,3.72884,0.465072,11.1391,1506.26,40.0181,0.0706858,0.796328,753.502,19.0607,0.0348804,11.0601,11663.7,294.946,0,247.979,755.55,134.369,0,364.005,1154.97,235.818,0,5.14182,9,2.10624,1,2.06326,103,3.56637,1,1,1,0,0,0.0268731,1.05554,0.104474,0,0.270256,0.967715,0.305659,0.7,99.5699,471.97,87.6552,0.291906,0.947361,1,0.0708319,1,12.4724,72,11.621,1,1.7628,7.33333,1.1062,0.0484277,0.752671,1,0.29631,0,0.518876,1,0.450688,0.56,1.33833,2.41,0.435328,0.26092,1.40282,2,0.547059,0.31745,1.4316,2,0.52143,0.173611,1.35264,2,0.591911,21.9589,63.5223,127.89,25.2531,7.74273,47.5838,148.917,27.1617,15.598,117.638,165.24,36.6061,18.6079,135.326,171.836,29.883,7.26893,77.6879,166.507,44.7903,6.98886,75.3573,174.705,44.8312,0.3,0.41,1,0.183968,0.3,0.924738,30.974,3.77033,0.3,1.03979,30.974,3.76006,-0.22,-0.00047426,0.29,0.0384272,1.00056,1.01187,1.06318,0.0110144,CA1
"9",c12973,97888.2,6,112,230,119,1140.26,762.35,816.19,6336,916.61,1105.66,22398.5,30728.7,1922.92,28779.1,699546,945054,11560,4858,1521,6.15146,57.1299,22397.4,220.213,2202,211.479,176.73,60.878,36.98,166.895,165.267,157.966,6830.68,5990.98,14431,14748,8444.99,8589.16,12.2,100.34,116.79,0.5,144.926,48944.1,48944.1,48944.1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1140.26,1140.26,1140.26,0,762.35,762.35,762.35,0,816.19,816.19,816.19,0,1,2.87738,4,0.872545,0.3,0.416262,31.47,1.10192,0.164317,0.502114,176.541,6.03164,0.495076,10.1765,67.7656,5.42172,0.466598,13.9613,1555.26,44.2908,0.0706858,0.873659,777.828,20.8641,0.0349948,13.0755,12236,328.241,0,317.687,1082.06,211.68,0,429.18,1326.96,313.539,0,5.24977,13,2.50896,1,2.20618,119,3.59361,1,1,1,0,0,0.0267455,0.897928,0.115572,0,0.248391,0.990467,0.313733,2.6,97.3799,652.41,94.3847,0.618838,0.957446,1,0.0499093,1,9.53247,102,12.2039,1,1.88821,5.66667,1.38724,0.0285987,0.76839,1,0.307503,0,0.543554,1,0.459725,0.56,1.1929,2.625,0.524919,0.35342,1.49013,2,0.525555,0.31745,1.4756,2,0.53978,0.173611,1.41041,2,0.603228,12.0517,61.5376,135.768,27.1442,14.5033,53.9728,135.091,25.5183,20.0027,130.009,169.848,28.6732,42.1455,132.865,171.223,26.9619,2.15517,76.081,178.285,44.4671,1.87192,77.3798,173.147,42.5376,0.3,0.38125,0.9,0.156169,0.3,0.843193,31.47,3.56615,0.3,0.981429,31.47,3.55743,-0.21,0.000228624,0.31,0.0375199,1.00043,1.01347,1.06784,0.0130411,CA1
"10",c12979,67148.1,6,71,148,78,1045.8,369,316.7,4189,599.174,797.718,11144.3,15424,1444.96,18801.7,309306,368735,5252,2867,951,4.28718,30.5605,11143.5,141.72,1393,98.6333,119.257,32.3179,16.61,113.563,112.43,107.966,4237.39,3614.7,8625.25,9374.65,5333.06,5914.92,8.6,78.616,80.616,0.04,113.203,33574,33574,33574,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1045.8,1045.8,1045.8,0,369,369,369,0,316.7,316.7,316.7,0,1,3.00718,4,0.769867,0.3,0.430132,27.758,1.21589,0.164317,0.572662,146.245,6.28951,0.492037,8.00594,29.3169,3.0417,0.463734,11.0804,1209.53,42.2809,0.0706858,1.03805,605.154,20.4343,0.03478,13.507,8393.51,283.26,0,222.043,1214.22,204.723,0,264.706,1360.4,240.258,0,3.77028,8,1.7358,1,2.05815,78,2.91774,1,1,1,0,0,0.0289674,0.933309,0.112342,0,0.20649,0.98559,0.28586,1.99,75.2941,374.39,57.3081,0.804811,0.957565,1,0.0358402,1,9.34899,43,6.47734,1,1.3892,4.33333,0.70058,0.0396282,0.805789,1,0.279019,0,0.455182,1,0.433954,0.57,1.03812,2,0.316484,0.368698,1.59947,2,0.491868,0.325208,1.58352,2,0.509341,0.178232,1.52065,2,0.576184,11.9456,60.5342,160.071,28.773,12.4549,51.6386,130.012,25.6949,7.3639,123.218,164.582,31.3247,75.0618,133.924,169.251,24.263,11.9689,76.1865,176.929,37.6885,5.93531,84.4989,172.939,43.1212,0.3,0.330769,0.6,0.075602,0.3,1.0079,27.758,3.86837,0.3,1.03354,27.758,3.86504,-0.23,2.90276e-05,0.22,0.0328812,1.00089,1.01074,1.0335,0.00704441,CA1
